entity	table	column	type	required	pk	ref	note
Table	data	SNPID	string				chr:pos:ref:alt
Table	data	chromosome	chromosome	TRUE			the chromosome that the variant is located on
Table	data	position	integer	TRUE			the base pair location of the variant
Table	data	rsID	string				rs Identifier
Table	data	strand	strand	TRUE			DNA strand designation
Table	data	effect_allele	string	TRUE			effect allele of the variant
Table	data	other_allele	string	TRUE			the other allele to the effect allele
Table	data	ref_allele	string				reference allele
Table	data	alt_allele	string				alternate allele
Table	data	effect_allele_freq	float	TRUE			effect allele frequency of the variant
Table	data	eaf_case	float				effect allele frequency in cases for binary traits
Table	data	eaf_ctrl	float				effect allele frequency in controls for binary traits
Table	data	mac	integer				minor allele count
Table	data	p_value	float	TRUE			p-value
Table	data	p_value_log10	float				negative log10 of p-value
Table	data	beta	float	TRUE			estimated effect size
Table	data	se	float	TRUE			standard error of beta
Table	data	beta_ci_lower	float				95% confidence interval lower bound for beta
Table	data	beta_ci_upper	float				95% confidence interval upper bound for beta
Table	data	odds_ratio	float	CONDITIONAL (trait_type = binary)			odds ratio for binary traits
Table	data	OR_ci_lower	float				95% confidence interval lower bound for OR
Table	data	OR_ci_upper	float				95% confidence interval upper bound for OR
Table	data	direction_of_effect	direction_of_effect	CONDITIONAL (is_meta_analysis = TRUE)			direction of effect
Table	data	n_samp	integer				sample size
Table	data	n_case	integer				number of cases for binary traits
Table	data	n_ctrl	integer				number of controls for binary traits
Table	data	is_imputed	boolean	TRUE			logical for whether or not the variant is imputed
Table	data	imputation_quality_score	float	CONDITIONAL (is_imputed = TRUE)			imputation quality score for an imputed variant
enum	chromosome	1					
enum	chromosome	2					
enum	chromosome	3					
enum	chromosome	4					
enum	chromosome	5					
enum	chromosome	6					
enum	chromosome	7					
enum	chromosome	8					
enum	chromosome	9					
enum	chromosome	10					
enum	chromosome	11					
enum	chromosome	12					
enum	chromosome	13					
enum	chromosome	14					
enum	chromosome	15					
enum	chromosome	16					
enum	chromosome	17					
enum	chromosome	18					
enum	chromosome	19					
enum	chromosome	20					
enum	chromosome	21					
enum	chromosome	22					
enum	chromosome	X					
enum	chromosome	Y					
enum	chromosome	MT					
enum	strand	-					
enum	strand	+					
enum	direction_of_effect	-					
enum	direction_of_effect	+					
