entity	table	column	type	pk	ref	note
Table	subject	subject_id	varchar	TRUE		Subject/Participant Identifier within project
Table	subject	dbgap_subject_id	varchar			"Subject id used by dbGaP, if available"
Table	subject	consent_code	varchar			consent abbreviation (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4721915/table/pgen.1005772.t001/?report=objectonly)
Table	subject	study_nickname	varchar			short name for study as defined by CC
Table	subject	dbgap_submission	bool			Flag if sample has been submitted to dbGaP
Table	subject	dbgap_study_id	varchar			PHS ID for study
Table	subject	reported_sex	sex			reported sex
enum	sex	F				
enum	sex	M				
enum	sex	X				
Table	sample	sample_id	varchar	TRUE		sample identifier
Table	sample	subject_id	varchar		< subject.subject_id	
Table	sample	dbgap_sample_id	varchar			"Sample id used by dbGaP, if available"
Table	sample	tissue_source	varchar			tissue type of sample (UBERON concepts)
Table	sample	age_at_sample_collection	int			age of subject when sample was collected
Table	sample_set	sample_set_id	varchar	TRUE		
Table	sample_set	sample_id	varchar		< sample.sample_id	
Table	dataset	dataset_id	varchar	TRUE		unique identifier for dataset
Table	dataset	dataset_type	dataset_type			type of dataset
Table	dataset	sample_set_id	varchar		< sample_set.sample_set_id	
enum	dataset_type	sequencing				
enum	dataset_type	array				
enum	dataset_type	imputation				
Table	file	md5	varchar	TRUE		
Table	file	dataset_id	varchar		< dataset.dataset_id	
Table	file	filename	varchar			
Table	array_dataset	dataset_id	varchar	TRUE	- dataset.dataset_id	
Table	array_dataset	genotyping_center	varchar			
Table	array_dataset	array_manufacturer	varchar			
Table	array_dataset	array_name	varchar			
Table	array_dataset	genotype_calling_software	varchar			
Table	array_dataset	reference_genome_build	varchar			
Table	imputation_dataset	dataset_id	varchar	TRUE	- dataset.dataset_id	
Table	imputation_dataset	source_genotypes	varchar			
Table	imputation_dataset	reference_panel	varchar			
Table	imputation_dataset	imputation_pipeline	varchar			
Table	imputation_dataset	quality_filter	varchar			
Table	imputation_dataset	reference_genome_build	varchar			
Table	sequencing_dataset	dataset_id	varchar	TRUE	- dataset.dataset_id	
Table	sequencing_dataset	seq_center	varchar			
Table	sequencing_dataset	reference_genome_build	varchar			
Table	sequencing_dataset	alignment_method	varchar			
Table	sequencing_dataset	functional_equivalence_standard	varchar			
Table	sequencing_dataset	analyte_type	varchar			
Table	sequencing_dataset	analyte_isolation_method	varchar			
Table	sequencing_dataset	analyte_isolation_batch	varchar			
Table	sequencing_dataset	analyte_quality_metrics	varchar			
Table	sequencing_dataset	sequencing_assay	varchar			
Table	sequencing_dataset	library_prep_kit_method	varchar			
Table	sequencing_dataset	exome_capture_platform	varchar			
Table	sequencing_dataset	capture_region_bed_filename	varchar			
Table	sequencing_dataset	date_data_generation	datetime			
Table	sequencing_dataset	sequencer_id	varchar			
Table	sequencing_dataset	seq_platform	varchar			
Table	sequencing_dataset	target_insert_size	int			
Table	sequencing_dataset	target_depth	int			
Table	sequencing_dataset	seq_strategy	varchar			
Table	sequencing_dataset	read_length	int			
Table	sequencing_dataset	number_of_independent_libraries	int			
enum	analyte_type	DNA				
enum	analyte_type	RNA				
