entity	table	column	type	required	pk	ref	note
Table	subject	subject_id	string	TRUE	TRUE		subject/participant Identifier within project
Table	subject	dbgap_subject_id	string				subject identifier used by dbGaP (if available)
Table	subject	consent_code	string	TRUE			consent abbreviation (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4721915/table/pgen.1005772.t001/?report=objectonly)
Table	subject	study_nickname	string	TRUE			short name for study as defined by CC
Table	subject	dbgap_submission	boolean				flag if subject has been submitted to dbGaP
Table	subject	dbgap_study_id	string				PHS ID for study
Table	subject	reported_sex	reported_sex	TRUE			reported sex
Table	sample	sample_id	string	TRUE	TRUE		sample identifier
Table	sample	subject_id	string	TRUE		> subject.subject_id	
Table	sample	dbgap_sample_id	string				sample identifier used by dbGaP (if available)
Table	sample	tissue_source	tissue_source	TRUE			tissue type of sample (UBERON concepts)
Table	sample	age_at_sample_collection	float				age of subject when sample was collected
Table	sample	batch	string				processing batch for sample (e.g. genotyping plate)
Table	sample_set	sample_set_id	string	TRUE	TRUE		sample set identifier
Table	sample_set	sample_id	string	TRUE		> sample.sample_id	
Table	array_dataset	array_dataset_id	string		TRUE	from: sample_set_id, genotyping_center, array_manufacturer, array_name, genotype_calling_software, reference_assembly	
Table	array_dataset	sample_set_id	string	TRUE		> sample_set.sample_set_id	
Table	array_dataset	genotyping_center	string	TRUE			name of genotyping center
Table	array_dataset	array_manufacturer	string	TRUE			name of array manufacturer (e.g. Illumina, Affymetrix)
Table	array_dataset	array_name	string	TRUE			name of genotyping array (e.g. OmniExpress)
Table	array_dataset	genotype_calling_software	string	TRUE			software and version used for genotype calling (e.g. GenomeStudio v2.0.5)
Table	array_dataset	reference_assembly	string	TRUE			reference genome assembly that the submitted data is mapped to
Table	array_file	array_file_id	string		TRUE	from: md5sum	
Table	array_file	md5sum	string	TRUE			md5 checksum for the file
Table	array_file	array_dataset_id	string	TRUE		> array_dataset.array_dataset_id	
Table	array_file	file_path	string	TRUE			absolute file path in cloud storage
Table	array_file	file_type	file_type	TRUE			
Table	imputation_dataset	imputation_dataset_id	string		TRUE	from: sample_set_id, reference_panel, imputation_software, reference_assembly	
Table	imputation_dataset	sample_set_id	string	TRUE		> sample_set.sample_set_id	
Table	imputation_dataset	source_dataset_id	string			> array_dataset.array_dataset_id	if source data is in PRIMED, provide array_dataset_id
Table	imputation_dataset	source_genotypes	string				source of input data (e.g. array name, WES, targeted sequencing)
Table	imputation_dataset	reference_panel	string	TRUE			reference panel with version (e.g. 1000G Phase 3, TOPMed version 2)
Table	imputation_dataset	imputation_software	string	TRUE			software and version used for imputation (e.g. IMPUTE2 v2.3.2)
Table	imputation_dataset	quality_filter	string	TRUE			description of quality filter applied to data (e.g. info > 0.9)
Table	imputation_dataset	reference_assembly	string	TRUE			reference genome assembly that the submitted data is mapped to
Table	imputation_file	imputation_file_id	string		TRUE	from: md5sum	
Table	imputation_file	md5sum	string	TRUE			md5 checksum for the file
Table	imputation_file	imputation_dataset_id	string	TRUE		> imputation_dataset.imputation_dataset_id	
Table	imputation_file	file_path	string	TRUE			absolute file path in cloud storage
Table	imputation_file	file_type	file_type	TRUE			
Table	imputation_file	chromosome	chromosome	TRUE			
Table	sequencing_dataset	sequencing_dataset_id	string		TRUE	from: sample_set_id, seq_center, reference_assembly, alignment_method, sequencing_assay, seq_platform	
Table	sequencing_dataset	sample_set_id	string	TRUE		> sample_set.sample_set_id	
Table	sequencing_dataset	seq_center	string	TRUE			name of sequencing center
Table	sequencing_dataset	reference_assembly	reference_assembly	TRUE			reference genome assembly that the submitted data is mapped to
Table	sequencing_dataset	alignment_method	string	TRUE			alignment method used (e.g. BWA-MEM)
Table	sequencing_dataset	functional_equivalence_standard	string				CCDG example: https://github.com/CCDG/Pipeline-Standardization/blob/master/PipelineStandard.md
