entity	table	column	type	required	pk	ref	note
Table	subject	subject_id	string	TRUE	TRUE		subject/participant Identifier within project
Table	subject	dbgap_subject_id	string				subject identifier used by dbGaP (if available)
Table	subject	consent_code	string	TRUE			consent abbreviation (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4721915/table/pgen.1005772.t001/?report=objectonly)
Table	subject	study_nickname	string	TRUE			short name for study as defined by CC
Table	subject	dbgap_submission	boolean				flag if subject has been submitted to dbGaP
Table	subject	dbgap_study_id	string				PHS ID for study
Table	subject	reported_sex	reported_sex	TRUE			reported sex
Table	cohort_data	<table_name>_id	string			from: subject_id, age_at_observation	
Table	cohort_data	subject_id	string	TRUE		> subject.subject_id	the PRIMED subject id
Table	cohort_data	age_at_observation	float	TRUE			the age at which the observation or measurement for the phenotype of interest was taken
Table	cohort_data	<trait_1>	float	TRUE			an observation or measurement of a phenotype of interest
Table	cohort_data	<trait_2>	float				
Table	cohort_data	<trait_3>	float				
Table	cohort_data	visit	string				visit identifier
Table	cohort_metadata	table_name_id	string	TRUE		> cohort_data.<table_name>_id	the phenotype dataset that accompanies this metadata table
Table	cohort_metadata	trait	string				
Table	cohort_metadata	concept_id	string	TRUE		> omop_concept.concept_id	unique concept id for <trait> from omop concept table
Table	cohort_metadata	definition	string	TRUE			description of how <trait> phenotype was defined or measured
Table	cohort_metadata	unit	string	TRUE			unit of measurement for <trait> phenotype
Table	cohort_metadata	algorithm	string				algorithms used to calculate or adjust <trait> measurements
Table	cohort_metadata	use	string	TRUE			intended use of the <trait> variable
Table	cohort_metadata	data_type	data_type	TRUE			data type of variable
Table	pop_desc	subject_id	string	TRUE		> subject.subject_id	
Table	pop_desc	population_descriptor	string	TRUE			any descriptor used to describe individual
Table	pop_desc	descriptor_type	string	TRUE			type of descriptor used to describe individual
Table	pop_desc	country_of_recruitment	string				
Table	pop_desc	country_of_birth	string				
Table	omop_person	person_id	integer	TRUE		> subject.subject_id	
Table	omop_person	gender_concept_id	integer	TRUE			
Table	omop_person	year_of_birth	integer	TRUE			
Table	omop_person	month_of_birth	integer				
Table	omop_person	day_of_birth	integer				
Table	omop_person	birth_datetime	date				
Table	omop_person	race_concept_id	integer	TRUE			
Table	omop_person	ethnicity_concept_id	integer	TRUE			
Table	omop_person	location_id	integer				
Table	omop_person	provider_id	integer				
Table	omop_person	care_site_id	integer				
Table	omop_person	person_source_value	string				
Table	omop_person	gender_source_value	string				
Table	omop_person	gender_source_concept_id	integer				
Table	omop_person	race_source_value	string				
Table	omop_person	race_source_concept_id	integer				
Table	omop_person	ethnicity_source_value	string				
Table	omop_person	ethnicity_source_concept_id	integer				
Table	omop_measurement	person_id	integer	TRUE		> omop_person.person_id	FK to person in person table
Table	omop_measurement	measurement_id	integer	TRUE			unique id for each measurement
Table	omop_measurement	measurement_concept_id	integer	TRUE			FK to standard measurement concept identifier in the concept table
Table	omop_measurement	measurement_date	date	TRUE			date of measurement
Table	omop_measurement	measurement_datetime	date				date and time of measurement
Table	omop_measurement	measurement_type_concept_id	integer	TRUE			FK reflecting provenance of concept and linked to concept table
Table	omop_measurement	operator_concept_id	integer				
Table	omop_measurement	value_as_number	float				measurement result when measurement is expressed as a numerical value
Table	omop_measurement	value_as_concept_id	integer				concept of the value
Table	omop_measurement	unit_concept_id	integer				
Table	omop_measurement	range_low	float				lower limit of normal range for this measurement
Table	omop_measurement	range_high	integer				upper limit of normal range for this measurement
Table	omop_measurement	provider_id	integer				FK for provider responsible for initiating or obtaining measurement
Table	omop_measurement	visit_occurrence_id	string				FK for visit at which measurement was obtained
Table	omop_measurement	measurement_source_concept_id	integer				FK code used in source data for this concept
Table	omop_measurement	measurement_source_value	string				source code for how unit appears in source data
Table	omop_concept	concept_id	string	TRUE			
Table	omop_concept	concept_name	string	TRUE			name of concept
Table	omop_concept	domain_id	string	TRUE			biomedical domain
Table	omop_concept	vocabulary_id	string	TRUE			ontology used for concept
Table	omop_concept	concept_class_id	string	TRUE			attribute or concept class of concept
Table	omop_concept	standard_concept	standard_concept				
Table	omop_concept	concept_code	string	TRUE			
Table	omop_concept	valid_start_date	date	TRUE			start date that concept began
Table	omop_concept	valid_end_date	date	TRUE			end date when concept became invalid
Table	omop_concept	invalid_reason	string				reason for concept invalidation
enum	reported_sex	F					
enum	reported_sex	M					
enum	reported_sex	X					
enum	data_type	string					
enum	data_type	numeric					
enum	data_type	integer					
enum	standard_concept	S					
enum	standard_concept	C					
enum	standard_concept	N					
meta	subject			TRUE			
meta	cohort_data			TRUE			
meta	cohort_metadata			TRUE			
meta	pop_desc			TRUE			
meta	omop_person			TRUE			
meta	omop_measurement			TRUE			
meta	omop_concept			TRUE			
